County,SubCounty,panel_date,Year,Month,Population_Density_per_SqKm,Total_Population,total_abstraction_m3_per_day,wrua_count,Mean_NDVI,Rainfall_mm,Rainfall_Anomaly_mm,Rainfall_Anomaly_Percent,conflict_onset,conflict_persistence,conflict_severity_weighted
Nairobi,Dagoretti,2004-01-01,2004,1,14908,434208,20186.58,0.0,0.5484745100382411,112.87877102129856,51.71712632699403,84.65991035836039,False,0.05413076520125852,0.0
Nairobi,Dagoretti,2004-02-01,2004,2,14908,434208,20186.58,0.0,0.6085505327836205,53.26382173603846,13.340963213433406,33.4443124446249,False,0.05201909769296256,0.0
Nairobi,Dagoretti,2004-03-01,2004,3,14908,434208,20186.58,0.0,0.5123032599386552,84.14106392570837,-18.6296431813821,-18.161692726702125,False,0.0501183066566061,0.0
Nairobi,Dagoretti,2004-04-01,2004,4,14908,434208,20186.58,0.0,0.5703513712954116,289.2323079282938,50.51653229308383,21.17518104500651,False,0.04816316710991618,0.0
Nairobi,Dagoretti,2004-05-01,2004,5,14908,434208,20186.58,0.0,0.621970238308636,123.07853013783814,-26.714630307384954,-17.889843668330418,False,0.046343747453477434,0.0
Nairobi,Dagoretti,2004-06-01,2004,6,14908,434208,20186.58,0.0,0.5961802347235501,11.777002867416815,-21.68949454245345,-64.78022398350426,False,0.04453585529924078,0.0
Nairobi,Dagoretti,2004-07-01,2004,7,14908,434208,20186.58,0.0,0.5249748864722753,5.142684599648603,-12.28621076866244,-70.8495401860436,False,0.042853461565397905,0.0
Nairobi,Dagoretti,2004-08-01,2004,8,14908,434208,20186.58,0.0,0.4731146704708413,10.444635759963685,-17.877172380312867,-63.13565516642964,False,0.04118172716317378,0.0
Nairobi,Dagoretti,2004-09-01,2004,9,14908,434208,20186.58,0.0,0.448771371594168,21.34191696074328,-4.373380660672825,-17.247284139531303,False,0.03957520793399501,0.0
Nairobi,Dagoretti,2004-10-01,2004,10,14908,434208,20186.58,0.0,0.3867597245458896,60.74452647699518,-10.109694917696906,-14.245381968837734,False,0.03808020842413228,0.0
Nairobi,Dagoretti,2004-11-01,2004,11,14908,434208,20186.58,0.0,0.6489532006851504,110.44979790444316,-41.92330447477853,-27.441883034506034,False,0.03659468095118038,0.0
Nairobi,Dagoretti,2004-12-01,2004,12,14908,434208,20186.58,0.0,0.6729471105202357,89.75821075169182,-25.61567218350929,-22.157763474211183,False,0.03521227431476187,0.0
Nairobi,Dagoretti,2005-01-01,2005,1,14908,434208,20186.58,0.0,0.580250919176227,63.85198629240276,2.6903415980982235,4.438436613284294,False,0.03383862634789444,0.0
Nairobi,Dagoretti,2005-02-01,2005,2,14908,434208,20186.58,0.0,0.5410444545689925,28.89829332143189,-11.02456520117316,-27.62696011724468,False,0.032518565057082414,0.0
Nairobi,Dagoretti,2005-03-01,2005,3,14908,434208,20186.58,0.0,0.5294700232034734,87.02760392934204,-15.74310317774841,-15.349855003804072,False,0.03137057004982735,0.0
Nairobi,Dagoretti,2005-04-01,2005,4,14908,434208,20186.58,0.0,0.5771971394000955,174.5229621879485,-64.1928134472615,-26.83915071363841,False,0.030146788836969075,0.0
Nairobi,Dagoretti,2005-05-01,2005,5,14908,434208,20186.58,0.0,0.5284987462157429,222.3235197723636,72.53035932714049,48.40265771228037,False,0.029007958824745963,0.0
Nairobi,Dagoretti,2005-06-01,2005,6,14908,434208,20186.58,0.0,0.6127578005497128,12.348237286695102,-21.11826012317516,-63.07529326893465,False,0.02787634422620009,0.0
Nairobi,Dagoretti,2005-07-01,2005,7,14908,434208,20186.58,0.0,0.541748805469248,11.121765464906268,-6.307129903404776,-36.43634085652626,False,0.026823282899916208,0.0
Nairobi,Dagoretti,2005-08-01,2005,8,14908,434208,20186.58,0.0,0.5343511044056722,11.20631218728749,-17.115495952989058,-60.42929238934577,False,0.0257768935729782,0.0
Nairobi,Dagoretti,2005-09-01,2005,9,14908,434208,20186.58,0.0,0.4739368666347993,14.812453680192894,-10.902843941223209,-42.42649695606922,False,0.024771324403200515,0.0
Nairobi,Dagoretti,2005-10-01,2005,10,14908,434208,20186.58,0.0,0.5152787105640533,35.63086291170313,-35.22335848298896,-49.70828932562088,False,0.023835558812197156,0.0
Nairobi,Dagoretti,2005-11-01,2005,11,14908,434208,20186.58,0.0,0.5280280712237094,78.85239651714741,-73.52070586207428,-48.19440342192036,False,0.022905722056728136,0.0
